Easting  , Northing , Cu100Depth, TestCount, MinCu , MaxCu , MinDepth, MaxDepth, PrimaryTestType, Latitude          , Longitude
442174.0 , 189418.5 ,  6.3      ,         2,  45.0 ,  75.0 ,     0.9 ,     1.3 , HandVane       , 51.60203445964432 , -1.3924673059002564
442517.47, 192545.08,  1.8571887,         5,  77.0 , 130.0 ,     0.5 ,     4.5 , HandVane       , 51.6301190498053  , -1.3871301070352706
442602.84, 191932.84,  7.5      ,         3,  58.67,  75.0 ,     0.5 ,     2.5 , HandVane       , 51.62460816198469 , -1.3859710187967709
442696.88, 193306.84,  1.3934   ,         5,  55.33, 130.0 ,     0.5 ,     4.5 , HandVane       , 51.636954335295776, -1.3844456527214246
442964.5 , 193054.0 ,  0.5      ,        10,  36.0 , 140.0 ,     0.5 ,     4.0 , HandVane       , 51.63466076109037 , -1.3806097833498525
443080.5 , 193742.0 ,  8.95     ,         1,  69.0 ,  69.0 ,     3.95,     3.95, TriaxialTotal  , 51.64083753003472 , -1.3788493602727552
443169.47, 191793.23,  3.2      ,         1, 140.0 , 140.0 ,     3.2 ,     3.2 , TriaxialTotal  , 51.623309901152886, -1.377803432602805
443183.03, 191925.31,  4.3      ,         1, 200.0 , 200.0 ,     4.3 ,     4.3 , TriaxialTotal  , 51.62449634367508 , -1.3775912910440034
443212.1 , 194159.56,  2.305288 ,         6,  67.33, 130.0 ,     1.2 ,     4.5 , HandVane       , 51.644581645112815, -1.3768964112539568
443232.56, 192049.84,  6.2      ,         1,  84.33,  84.33,     1.2 ,     1.2 , HandVane       , 51.6256121784919  , -1.3768604962294264
443250.66, 192781.47,  2.0      ,         1, 106.0 , 106.0 ,     2.0 ,     2.0 , HandVane       , 51.632188636392016, -1.3765090022882815
443263.5 , 192027.6 ,  0.6      ,         3,  80.0 , 130.0 ,     0.6 ,     3.0 , HandVane       , 51.62540976305468 , -1.3764163439092485
443303.5 , 191992.19,  0.8      ,         4,  72.33, 111.67,     0.8 ,     2.2 , HandVane       , 51.62508836605853 , -1.37584291086225
443334.5 , 194205.0 ,           ,         6,       ,       ,     0.5 ,     3.5 , HandVane       , 51.6449807653491  , -1.375121896586917
443373.66, 193758.5 ,  2.3166666,         2,  74.0 , 104.0 ,     1.45,     2.45, HandVane       , 51.64096340347286 , -1.3746112480933312
443403.5 , 189985.0 ,  2.5      ,         7,  46.67, 140.0 ,     0.75,     4.0 , HandVane       , 51.60703456323379 , -1.374646381030673
443404.0 , 189954.0 , 32.5      ,         1, 530.0 , 530.0 ,    32.5 ,    32.5 , TriaxialTotal  , 51.606755811134995, -1.374642989055223
443433.6 , 191804.98,  7.4      ,         1, 120.0 , 120.0 ,     7.4 ,     7.4 , TriaxialTotal  , 51.6233952722479  , -1.3739868763344771
443447.0 , 190957.0 ,  0.5      ,         7,  93.33, 180.0 ,     0.5 ,     4.0 , HandVane       , 51.61577023114524 , -1.3738981141924678
443466.6 , 193175.12,  2.3833332,         5,  80.0 , 130.0 ,     0.9 ,     4.5 , HandVane       , 51.635711290119204, -1.373340574361382
443739.88, 192592.44,  1.2      ,         6,  88.67, 130.0 ,     1.2 ,     4.5 , HandVane       , 51.63045138494887 , -1.3694647554095336
443777.0 , 194745.0 ,  3.0587716,         8,  51.67, 125.0 ,     0.5 ,     3.5 , HandVane       , 51.649801552646075, -1.368659842796627
444021.62, 194076.28,  3.1963568,         5,  89.33, 130.0 ,     1.5 ,     4.8 , HandVane       , 51.64377026141074 , -1.3652082890509896
444036.22, 192768.95,           ,       695,       ,       ,         ,         , CPTDerived     , 51.63201532823476 , -1.3651614658470308
444036.94, 192769.52,           ,      1316,       ,       ,         ,         , CPTDerived     , 51.63202032939191 , -1.3651510114616845
444060.56, 192814.36, 14.75     ,         2,  42.0 , 100.0 ,     6.4 ,    14.75, TriaxialTotal  , 51.63242166139106 , -1.3648040708496156
444075.22, 192798.73,           ,       688,       ,       ,         ,         , CPTDerived     , 51.63228003648764 , -1.3645942914722966
444075.88, 192799.52,           ,      1318,       ,       ,         ,         , CPTDerived     , 51.6322870091948  , -1.3645847124409047
444113.0 , 192208.0 ,  9.1      ,         5,  55.0 ,  84.0 ,     2.5 ,     4.1 , HandVane       , 51.626965961453784, -1.3641226913615359
444121.72, 192829.7 ,           ,       366,       ,       ,         ,         , CPTDerived     , 51.63255483177312 , -1.363918607141636
444122.34, 192830.36,           ,      1304,       ,       ,         ,         , CPTDerived     , 51.632560683030796, -1.3639094951376605
444136.94, 192249.23,  6.4      ,         1, 120.0 , 120.0 ,     6.4 ,     6.4 , TriaxialTotal  , 51.627334815556566, -1.3637717201431583
444305.97, 194779.33,  2.8166666,         5,  68.33, 130.0 ,     0.8 ,     4.4 , HandVane       , 51.650068855797564, -1.3610104823360627
444475.1 , 192526.48,  6.15     ,         1, 200.0 , 200.0 ,     6.15,     6.15, TriaxialTotal  , 51.62980092886855 , -1.3588517454110414
444483.5 , 190048.0 ,           ,         3,       ,       ,     0.6 ,     1.5 , HandVane       , 51.60751691267573 , -1.3590441708472534
444494.25, 192093.38,           ,       294,       ,       ,         ,         , CPTDerived     , 51.62590546034862 , -1.3586298975817657
444512.66, 193296.4 ,  2.163158 ,         5,  64.0 , 130.0 ,     1.5 ,     4.4 , HandVane       , 51.63672009793653 , -1.3582114592395909
444524.88, 191600.66, 12.434951 ,         3,  23.0 , 200.0 ,     7.9 ,    13.6 , TriaxialTotal  , 51.62147315330953 , -1.3582499889518962
444536.5 , 189441.0 ,  0.4      ,         1, 130.0 , 130.0 ,     0.4 ,     0.4 , HandVane       , 51.602055355757216, -1.35835578860098
444550.44, 191802.66, 14.8      ,         1,  36.0 ,  36.0 ,     9.8 ,     9.8 , TriaxialTotal  , 51.62328725897017 , -1.3578551478763714
444556.62, 194201.72,  0.75     ,        12, 120.0 , 551.88,     0.75,     9.5 , HandVane       , 51.64485600163544 , -1.3574611949666755
444557.5 , 193811.4 ,  2.5      ,         4, 105.33, 130.0 ,     2.5 ,     4.7 , HandVane       , 51.641346758657065, -1.3574981302099633
444560.0 , 194678.0 ,  4.0      ,         7,  75.0 , 190.0 ,     0.6 ,     4.0 , HandVane       , 51.64913782307614 , -1.3573519051979568
444607.1 , 193013.81,  1.908998 ,         5,  94.0 , 130.0 ,     1.5 ,     4.7 , HandVane       , 51.634171923361336, -1.3568828981881513
444636.0 , 191854.0 ,  7.9594593,         8,  64.0 , 250.0 ,     3.5 ,    10.5 , TriaxialTotal  , 51.62374211272831 , -1.3566127354386543
444671.0 , 191309.5 ,  3.9200358,         5,  55.0 , 110.0 ,     0.6 ,     4.1 , HandVane       , 51.618843901613175, -1.3561764367425466
444679.84, 192611.53,  2.3623242,         2,  94.0 , 104.67,     1.8 ,     2.8 , HandVane       , 51.63054937800196 , -1.3558830366918684
444699.66, 192250.98, 14.3      ,         2,  72.0 ,  89.0 ,     6.25,     9.3 , TriaxialTotal  , 51.62730624084302 , -1.3556427221309268
444781.5 , 190365.0 ,  0.4      ,         5,  81.67, 125.0 ,     0.4 ,     3.5 , HandVane       , 51.610343411306005, -1.3547008859119007
444794.7 , 191943.81,  8.142006 ,         2,  81.0 , 400.0 ,     7.41,    19.7 , TriaxialTotal  , 51.6245370128643  , -1.354309134369555
444811.12, 194233.98,  7.0      ,         1,  28.0 ,  28.0 ,     2.0 ,     2.0 , TriaxialTotal  , 51.6451259191246  , -1.3537792681656577
444862.0 , 192300.0 ,  9.5      ,         8,  59.0 , 150.0 ,     2.5 ,     9.5 , TriaxialTotal  , 51.62773403780832 , -1.3532913190696054
444880.0 , 192533.0 ,  3.8406594,         4,  58.0 , 160.0 ,     1.5 ,     4.5 , TriaxialTotal  , 51.62982743715782 , -1.3530015100796722
444909.0 , 191958.0 ,  3.161017 ,        12,  61.0 , 250.0 ,     2.5 ,    15.0 , TriaxialTotal  , 51.62465548024815 , -1.3526561172245393
444987.38, 194502.12,  1.4      ,         3, 100.0 , 130.0 ,     1.4 ,     2.5 , HandVane       , 51.64752264324596 , -1.3511978516934724
444998.84, 194898.45,  1.7      ,         7,  85.67, 130.0 ,     1.7 ,     4.6 , HandVane       , 51.651084977864166, -1.3509812437825426
445007.0 , 195218.5 , 11.0      ,         1,  64.0 ,  64.0 ,     6.0 ,     6.0 , TriaxialTotal  , 51.653961756458465, -1.350822273020682
445023.0 , 191743.0 ,  3.2674417,        12,  67.0 , 250.0 ,     2.5 ,    15.0 , TriaxialTotal  , 51.62271339414047 , -1.3510369905196213
445102.5 , 192635.5 ,  4.0      ,         4,  65.0 , 105.0 ,     1.0 ,     4.0 , HandVane       , 51.63073123444908 , -1.3497740359018238
445105.5 , 192630.5 ,  7.5      ,         1,  78.0 ,  78.0 ,     2.5 ,     2.5 , TriaxialTotal  , 51.63068604112953 , -1.349731338617237
445154.2 , 192988.3 ,  0.5      ,        10, 130.0 , 130.0 ,     0.5 ,     4.85, HandVane       , 51.633898982355646, -1.3489819397333371
445190.62, 193231.45, 13.07     ,         2,  73.0 ,  97.0 ,     5.29,     8.07, TriaxialTotal  , 51.636082202327195, -1.3484241927987393
445220.34, 193252.3 ,  1.5      ,        19, 104.0 , 274.6 ,     1.5 ,    14.5 , HandVane       , 51.63626721926014 , -1.3479921215366022
445237.5 , 190446.5 ,  0.7      ,         4,  65.0 , 136.67,     0.7 ,     3.0 , HandVane       , 51.6110397917314  , -1.3481056987357856
445279.2 , 193807.48,  1.0      ,         6,  79.33, 130.0 ,     1.0 ,     4.8 , HandVane       , 51.64125400272472 , -1.347070275985745
445340.5 , 194625.5 ,  9.5      ,         1, 170.0 , 170.0 ,     9.5 ,     9.5 , TriaxialTotal  , 51.64860357129927 , -1.3460785633639687
445389.2 , 194151.27,  2.432592 ,         4,  72.33, 123.33,     1.5 ,     4.5 , HandVane       , 51.64433597706862 , -1.3454362982620718
445416.53, 192996.0 ,  4.43     ,         1, 150.0 , 150.0 ,     4.43,     4.43, TriaxialTotal  , 51.6339471724792  , -1.3451907076396732
445433.28, 192646.62,  8.409735 ,         2,  59.0 , 210.0 ,     6.3 ,    14.07, TriaxialTotal  , 51.6308047073308  , -1.3449939365671295
445438.5 , 193245.5 ,  2.5      ,         6, 180.0 , 250.0 ,     2.5 ,     9.5 , TriaxialTotal  , 51.63618857437441 , -1.3448410055480993
445442.12, 194493.53,  3.7857144,         5,  61.33, 130.0 ,     0.5 ,     4.5 , HandVane       , 51.64740890294871 , -1.3446269542775933
445468.5 , 192848.5 ,  6.2      ,         1,  94.0 ,  94.0 ,     1.2 ,     1.2 , TriaxialTotal  , 51.632616861125335, -1.3444589933816284
